type;event;nodes;date_start;date_end;aditional_info
workflow;lb_wordpress;Scheduled by DCOS;1521806577;unknown;NWordpress: 16
workflow;ab_clients;Scheduled by DCOS;1521806791;record_time_manually;EndPoint: 10.136.41.158:6723 Instances: 6 Clients: 12 Requests: 1000000
anomaly;stress_cpu_nodes;set(['10.136.41.153', '10.136.41.159']);1521806868;1521806883;Stressors: 6
anomaly;stress_cpu_nodes;set(['10.136.41.156', '10.136.41.160']);1521806895;1521806910;Stressors: 6
anomaly;stress_cpu_nodes;set(['10.136.41.156', '10.136.41.160']);1521806932;1521806947;Stressors: 6
anomaly;stress_cpu_nodes;set(['10.136.41.159', '10.136.41.158']);1521806973;1521806988;Stressors: 6
anomaly;stress_cpu_nodes;set(['10.136.41.156', '10.136.41.158']);1521807006;1521807021;Stressors: 6
anomaly;stress_cpu_nodes;set(['10.136.41.156', '10.136.41.160']);1521807053;1521807068;Stressors: 6
anomaly;limit_upload_bandwidth_nodes;set(['10.136.41.156', '10.136.41.160']);1521807081;1521807096;delay:100ms,delay_jitter:50ms,bandwidth:75kbps,loss_percent:5%
anomaly;limit_upload_bandwidth_nodes;set(['10.136.41.160', '10.136.41.159']);1521807156;1521807171;delay:100ms,delay_jitter:50ms,bandwidth:75kbps,loss_percent:5%
anomaly;limit_upload_bandwidth_nodes;set(['10.136.41.153', '10.136.41.158']);1521807242;1521807257;delay:100ms,delay_jitter:50ms,bandwidth:75kbps,loss_percent:5%
anomaly;limit_upload_bandwidth_nodes;set(['10.136.41.160', '10.136.41.159']);1521807315;1521807330;delay:100ms,delay_jitter:50ms,bandwidth:75kbps,loss_percent:5%
anomaly;limit_upload_bandwidth_nodes;set(['10.136.41.160', '10.136.41.159']);1521807389;1521807404;delay:100ms,delay_jitter:50ms,bandwidth:75kbps,loss_percent:5%
anomaly;limit_upload_bandwidth_nodes;set(['10.136.41.160', '10.136.41.159']);1521807458;1521807473;delay:100ms,delay_jitter:50ms,bandwidth:75kbps,loss_percent:5%
anomaly;stress_disk_nodes;set(['10.136.41.160', '10.136.41.159']);1521807533;1521807548;Stressors: 6
anomaly;stress_disk_nodes;set(['10.136.41.160', '10.136.41.153']);1521807557;1521807572;Stressors: 6
anomaly;stress_disk_nodes;set(['10.136.41.153', '10.136.41.159']);1521807597;1521807612;Stressors: 6
anomaly;stress_disk_nodes;set(['10.136.41.153', '10.136.41.158']);1521807622;1521807637;Stressors: 6
anomaly;stress_disk_nodes;set(['10.136.41.156', '10.136.41.153']);1521807645;1521807660;Stressors: 6
anomaly;stress_disk_nodes;set(['10.136.41.156', '10.136.41.158']);1521807673;1521807688;Stressors: 6
anomaly;stress_big_heap_nodes;set(['10.136.41.153', '10.136.41.158']);1521807697;1521807712;Stressors: 1
anomaly;stress_big_heap_nodes;set(['10.136.41.156', '10.136.41.160']);1521807728;1521807743;Stressors: 1
anomaly;stress_big_heap_nodes;set(['10.136.41.160', '10.136.41.159']);1521807764;1521807779;Stressors: 1
anomaly;stress_big_heap_nodes;set(['10.136.41.160', '10.136.41.153']);1521807794;1521807809;Stressors: 1
anomaly;stress_big_heap_nodes;set(['10.136.41.156', '10.136.41.159']);1521807827;1521807842;Stressors: 1
anomaly;stress_big_heap_nodes;set(['10.136.41.153', '10.136.41.159']);1521807858;1521807873;Stressors: 1
